"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"8,333333";"191,2218";"156,4855";"154,5779";"-33,33911";"28,38489";"170,9128";"191,2218";"156,4855";"154,5779";"-33,33911";"28,38489";"170,9128"
"8,366667";"189,2822";"157,1684";"156,4818";"-33,87915";"23,97125";"166,7632";"189,2822";"157,1684";"156,4818";"-33,87915";"23,97125";"166,7632"
"8,4";"185,6964";"158,8871";"155,4938";"-34,26099";"19,14404";"165,545";"185,6964";"158,8871";"155,4938";"-34,26099";"19,14404";"165,545"
"8,433333";"185,0737";"158,4709";"155,5443";"-33,95081";"18,68719";"162,0135";"185,0737";"158,4709";"155,5443";"-33,95081";"18,68719";"162,0135"
"8,466666";"183,1153";"159,0053";"155,5695";"-33,99042";"18,09174";"158,0586";"183,1153";"159,0053";"155,5695";"-33,99042";"18,09174";"158,0586"
"8,5";"182,072";"158,8725";"155,653";"-34,01343";"18,47693";"154,5946";"182,072";"158,8725";"155,653";"-34,01343";"18,47693";"154,5946"
"8,533334";"181,9763";"158,132";"155,6387";"-34,02692";"18,73145";"151,9296";"181,9763";"158,132";"155,6387";"-34,02692";"18,73145";"151,9296"
"8,566667";"180,8076";"158,5058";"155,6934";"-34,05792";"17,53528";"149,1023";"180,8076";"158,5058";"155,6934";"-34,05792";"17,53528";"149,1023"
"8,6";"180,9791";"157,9428";"155,6925";"-34,06262";"19,31073";"146,7673";"180,9791";"157,9428";"155,6925";"-34,06262";"19,31073";"146,7673"
"8,633333";"181,075";"157,258";"155,6605";"-34,06616";"20,26569";"144,7319";"181,075";"157,258";"155,6605";"-34,06616";"20,26569";"144,7319"
"8,666667";"180,3442";"157,427";"155,6574";"-34,07782";"17,578";"142,262";"180,3442";"157,427";"155,6574";"-34,07782";"17,578";"142,262"
